,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary
140,0.09,0.96,6,245.0,4.0,0,1,0,4,1
141,0.45,0.53,2,155.0,3.0,0,1,0,4,1
142,0.11,0.8,6,256.0,4.0,0,1,0,4,1
143,0.37,0.47,2,152.0,3.0,0,1,0,5,1
144,0.84,0.99,4,267.0,5.0,0,1,0,5,1
145,0.41,0.46,2,151.0,3.0,0,1,0,5,1
146,0.76,0.92,4,239.0,5.0,0,1,0,5,1
147,0.11,0.87,6,306.0,4.0,0,1,0,4,1
148,0.84,0.88,4,263.0,5.0,1,1,0,7,1
149,0.39,0.5,2,147.0,3.0,0,1,0,7,1
150,0.11,0.91,6,278.0,4.0,0,1,0,7,1
151,0.45,0.56,2,154.0,3.0,0,1,0,7,1
152,0.37,0.52,2,143.0,0.0,0,1,0,7,1
153,0.4,0.52,2,155.0,3.0,0,1,0,7,1
154,0.39,0.48,2,160.0,3.0,0,1,0,1,1
155,0.11,0.8,6,304.0,4.0,0,1,0,8,1
156,0.83,1.0,5,240.0,5.0,0,1,0,3,1
157,0.11,0.92,6,0.0,4.0,0,1,0,2,1
158,0.39,0.5,2,0.0,3.0,0,1,0,10,1
159,0.45,0.45,2,132.0,0.0,0,1,0,7,1
160,0.1,0.95,7,301.0,4.0,0,1,0,7,1
161,0.9,0.98,5,243.0,6.0,0,1,0,7,1
162,0.45,0.51,2,147.0,3.0,0,1,0,1,1
163,0.79,0.89,5,239.0,5.0,0,1,0,1,1
164,0.9,0.99,5,260.0,5.0,0,1,0,1,1
165,0.11,0.84,7,296.0,4.0,0,1,0,1,1
166,0.43,0.55,2,129.0,3.0,0,1,0,1,1
167,0.31,0.54,5,132.0,5.0,0,1,0,1,1
168,0.32,0.5,2,135.0,5.0,0,1,0,1,1
169,0.45,0.57,2,158.0,3.0,0,1,0,1,1
170,0.81,0.99,4,259.0,5.0,0,1,0,1,1
171,0.41,0.46,2,160.0,3.0,0,1,1,1,1
172,0.11,0.78,7,278.0,4.0,0,1,0,1,1
173,0.1,0.88,6,284.0,4.0,0,1,0,1,1
174,0.7,0.53,2,274.0,4.0,0,1,0,1,1
175,0.54,0.74,4,164.0,2.0,0,1,0,1,1
176,0.41,0.48,2,148.0,3.0,0,1,0,1,1
177,0.38,0.5,2,140.0,3.0,0,1,0,1,2
178,0.37,0.51,2,127.0,3.0,0,1,0,1,2
179,0.11,0.85,6,308.0,5.0,0,1,0,1,2
180,0.4,0.47,2,146.0,3.0,0,1,0,1,2
181,0.1,0.84,6,261.0,4.0,0,1,0,8,2
182,0.89,0.99,5,257.0,5.0,0,1,0,8,2
183,0.11,0.8,6,285.0,4.0,0,1,0,8,2
184,0.36,0.55,2,141.0,3.0,0,1,0,9,2
185,0.4,0.46,2,127.0,3.0,0,1,0,9,2
186,0.09,0.85,6,297.0,4.0,0,1,0,9,2
187,0.4,0.46,2,143.0,3.0,0,1,0,9,2
188,0.37,0.55,2,152.0,3.0,0,1,0,2,2
189,0.44,0.51,2,156.0,3.0,0,1,0,2,3
190,0.09,0.8,7,283.0,5.0,0,1,0,2,1
191,0.92,0.87,4,226.0,6.0,1,1,0,2,2
192,0.74,0.91,4,232.0,5.0,0,1,0,2,2
193,0.09,0.82,6,249.0,0.0,0,1,0,2,2
194,0.89,0.95,4,275.0,5.0,0,1,0,2,2
195,0.09,0.8,6,304.0,4.0,0,1,0,2,1
196,0.27,0.54,7,278.0,3.0,0,1,0,2,1
197,0.1,0.91,6,287.0,4.0,0,1,0,2,1
198,0.1,0.89,7,285.0,4.0,0,1,0,2,1
199,0.77,0.94,5,226.0,6.0,0,1,0,3,1
200,0.9,0.82,5,259.0,5.0,0,1,0,3,1
201,0.39,0.5,2,135.0,3.0,0,1,0,3,1
202,0.76,1.0,5,219.0,5.0,0,1,0,3,1
203,0.1,0.93,6,256.0,4.0,0,1,0,3,1
204,0.87,0.9,5,254.0,6.0,0,1,0,3,1
205,0.38,0.5,2,153.0,0.0,0,1,0,3,1
206,0.77,0.99,5,228.0,5.0,0,1,0,3,1
207,0.78,0.87,4,228.0,5.0,0,1,0,3,1
208,0.44,0.5,2,128.0,3.0,0,1,0,3,1
209,0.38,0.52,2,153.0,3.0,0,1,0,3,1
210,0.43,0.46,2,156.0,3.0,0,1,0,2,1
211,0.39,0.5,4,294.0,3.0,0,1,0,2,1
212,0.88,1.0,5,219.0,5.0,0,1,0,2,1
213,0.45,0.46,2,153.0,3.0,0,1,0,10,1
214,0.4,0.53,2,151.0,3.0,0,1,0,4,1
215,0.36,0.51,2,155.0,3.0,0,1,0,4,1
216,0.36,0.48,2,158.0,3.0,0,1,0,4,1
217,0.9,0.98,5,245.0,5.0,0,1,0,4,1
218,0.43,0.53,2,131.0,3.0,0,1,0,4,1
219,0.89,0.87,5,225.0,5.0,0,1,0,5,1
220,0.1,0.84,6,286.0,4.0,0,1,0,5,1
221,0.37,0.5,2,135.0,3.0,0,1,0,5,1
222,0.37,0.51,2,153.0,0.0,0,1,0,5,1
223,0.87,0.9,5,252.0,0.0,0,1,0,4,1
224,0.4,0.56,2,149.0,3.0,0,1,0,8,1
225,0.9,0.97,4,258.0,5.0,0,1,0,8,1
226,0.37,0.46,2,158.0,3.0,0,1,0,9,1
227,0.44,0.54,2,149.0,3.0,0,1,0,9,1
228,0.85,0.95,5,236.0,5.0,0,1,0,9,1
229,0.78,0.98,5,239.0,0.0,0,1,0,7,1
230,0.42,0.47,2,159.0,3.0,0,1,0,7,1
231,0.92,0.99,5,255.0,6.0,0,1,0,1,1
232,0.11,0.83,6,244.0,4.0,0,1,0,8,1
233,0.42,0.56,2,134.0,3.0,0,1,0,3,1
234,0.48,0.57,4,270.0,4.0,0,1,0,2,1
235,0.83,0.85,4,255.0,5.0,0,1,0,10,1
236,0.4,0.53,2,151.0,3.0,0,1,0,7,1
237,0.43,0.45,2,135.0,0.0,0,1,0,7,1
238,0.43,0.53,2,146.0,3.0,0,1,0,7,1
239,0.1,0.97,7,254.0,4.0,0,1,0,1,1
240,0.1,0.87,7,289.0,4.0,0,1,0,1,1
241,0.37,0.46,2,156.0,3.0,0,1,0,1,1
242,0.38,0.53,2,156.0,3.0,0,1,0,1,1
243,0.4,0.5,2,128.0,3.0,0,1,0,1,1
244,0.89,0.86,5,275.0,5.0,0,1,0,1,1
245,0.45,0.46,2,155.0,3.0,0,1,0,1,1
246,0.37,0.48,2,159.0,3.0,0,1,0,1,1
247,0.46,0.49,2,148.0,3.0,0,1,0,1,1
248,0.87,0.91,4,228.0,5.0,0,1,0,1,1
249,0.11,0.84,6,298.0,4.0,0,1,0,1,1
250,0.79,0.87,5,261.0,5.0,0,1,0,1,1
251,0.79,0.92,5,254.0,6.0,0,1,0,1,1
252,0.19,0.59,7,192.0,3.0,0,1,0,1,1
253,0.87,0.98,4,248.0,5.0,0,1,0,1,1
254,0.6,0.92,2,258.0,5.0,0,1,0,1,1
255,0.44,0.45,2,156.0,3.0,0,1,0,1,2
256,0.11,0.81,6,266.0,4.0,1,1,0,1,2
257,0.42,0.54,2,156.0,3.0,0,1,0,1,2
258,0.88,0.88,5,232.0,5.0,1,1,0,8,2
259,0.11,0.84,6,287.0,4.0,0,1,0,8,2
260,0.46,0.46,2,154.0,3.0,0,1,0,8,2
261,0.82,0.97,5,263.0,0.0,0,1,0,9,2
262,0.44,0.56,2,131.0,3.0,0,1,0,9,2
263,0.11,0.78,6,260.0,4.0,0,1,0,9,2
264,0.42,0.5,2,139.0,3.0,0,1,0,9,2
265,0.84,0.93,4,251.0,5.0,0,1,0,2,2
266,0.11,0.95,6,286.0,4.0,0,1,0,2,2
267,0.45,0.53,2,129.0,0.0,0,1,0,2,3
268,0.38,0.56,2,156.0,3.0,0,1,0,2,1
269,0.38,0.86,6,139.0,6.0,0,1,0,2,2
270,0.44,0.51,2,127.0,3.0,0,1,0,2,2
271,0.11,0.84,6,251.0,4.0,0,1,0,2,2
272,0.81,0.93,5,270.0,5.0,0,1,0,2,2
273,0.09,0.96,6,296.0,4.0,0,1,0,2,1
274,0.11,0.9,6,0.0,4.0,0,1,0,2,1
275,0.81,0.95,5,0.0,6.0,0,1,0,2,1
276,0.1,0.97,6,0.0,4.0,1,1,0,3,1
277,0.74,0.89,5,0.0,6.0,0,1,0,3,1
278,0.09,0.78,6,254.0,0.0,0,1,0,3,1
279,0.82,0.81,4,233.0,4.0,1,1,0,3,1
280,0.1,0.98,6,268.0,4.0,0,1,0,3,1
281,0.27,0.56,3,301.0,3.0,0,1,0,3,1
282,0.83,0.92,5,267.0,6.0,0,1,0,3,1
283,0.1,0.93,6,289.0,4.0,1,1,0,3,1
284,0.38,0.47,2,144.0,3.0,0,1,0,3,1
285,0.4,0.56,2,148.0,3.0,0,1,0,3,1
286,0.11,0.83,6,306.0,0.0,0,1,0,3,1
287,0.11,0.79,6,292.0,4.0,0,1,1,2,1
288,0.82,0.91,5,232.0,5.0,0,1,0,2,1
289,0.36,0.48,2,137.0,3.0,0,1,0,2,1
290,0.4,0.46,2,128.0,3.0,0,1,0,10,1
291,0.87,0.84,5,231.0,5.0,0,1,0,4,1
292,0.41,0.49,2,146.0,0.0,0,1,0,4,1
293,0.11,0.91,6,308.0,4.0,1,1,0,4,1
294,0.1,0.93,6,253.0,4.0,0,1,0,4,2
295,0.38,0.51,2,146.0,3.0,0,1,0,4,2
296,0.39,0.55,2,156.0,3.0,0,1,0,5,2
297,0.4,0.52,2,147.0,3.0,0,1,0,5,2
298,0.45,0.48,2,136.0,3.0,0,1,0,5,2
299,0.74,0.84,5,249.0,5.0,0,1,0,5,2
300,0.45,0.55,2,151.0,3.0,0,1,0,4,2
301,0.12,1.0,3,278.0,4.0,0,1,0,6,2
302,0.1,0.77,7,250.0,5.0,0,1,0,6,2
303,0.37,0.55,2,127.0,3.0,0,1,0,6,2
304,0.89,0.87,5,255.0,5.0,0,1,0,6,2
305,0.45,0.47,2,135.0,3.0,0,1,0,6,2
306,0.37,0.46,2,149.0,3.0,0,1,0,7,3
307,0.11,0.81,5,287.0,4.0,0,1,0,1,1
308,0.41,0.48,2,145.0,0.0,0,1,0,8,2
309,0.1,0.94,6,285.0,0.0,0,1,0,3,2
310,0.1,0.93,7,305.0,0.0,0,1,0,2,2
311,0.11,0.95,7,300.0,4.0,0,1,0,10,2
312,0.4,0.54,2,139.0,3.0,0,1,0,7,1
313,0.41,0.49,2,130.0,3.0,0,1,0,7,1
314,0.1,0.81,6,268.0,4.0,0,1,0,7,1
315,0.73,0.86,4,245.0,6.0,0,1,0,1,1
316,0.43,0.47,2,135.0,3.0,0,1,0,1,1
317,0.37,0.46,2,153.0,3.0,0,1,0,1,1
318,0.11,0.94,6,276.0,4.0,0,1,0,1,1
319,0.4,0.46,2,130.0,3.0,0,1,0,1,1
320,0.41,0.54,2,153.0,3.0,1,1,0,1,1
321,0.82,0.84,5,244.0,5.0,0,1,0,1,1
322,0.61,0.47,2,253.0,3.0,0,1,0,1,1
323,0.11,0.91,7,287.0,4.0,0,1,0,1,1
324,0.37,0.45,2,131.0,3.0,0,1,0,1,1
325,0.41,0.52,2,135.0,3.0,0,1,0,1,1
326,0.37,0.52,2,157.0,3.0,0,1,0,1,1
327,0.88,0.99,5,262.0,6.0,0,1,0,1,1
328,0.1,0.85,6,266.0,4.0,0,1,0,1,1
329,0.44,0.48,2,148.0,3.0,0,1,0,1,1
330,0.38,0.57,2,140.0,3.0,0,1,0,1,1
331,0.11,0.85,7,302.0,4.0,0,1,0,1,1
332,0.09,0.98,6,271.0,4.0,0,1,0,1,1
333,0.45,0.52,2,145.0,3.0,0,1,0,1,2
334,0.1,0.81,6,290.0,0.0,0,1,0,8,2
335,0.45,0.47,2,151.0,3.0,0,1,0,8,2
336,0.77,0.87,5,266.0,5.0,0,1,0,8,2
337,0.44,0.51,2,140.0,3.0,0,1,0,9,2
338,0.39,0.5,2,142.0,3.0,0,1,0,9,2
339,0.1,0.91,6,246.0,4.0,0,1,0,9,2
340,0.09,0.89,7,308.0,5.0,0,1,0,9,2
341,0.37,0.47,2,141.0,0.0,0,1,0,2,2
342,0.9,1.0,5,232.0,5.0,0,1,0,2,2
343,0.41,0.56,2,143.0,3.0,0,1,0,2,2
344,0.37,0.52,2,155.0,3.0,0,1,0,2,2
345,0.1,0.86,6,278.0,4.0,0,1,0,2,3
346,0.81,1.0,4,253.0,5.0,0,1,0,2,1
347,0.11,0.8,6,282.0,4.0,0,1,0,2,2
348,0.11,0.84,7,264.0,4.0,0,1,0,2,2
349,0.4,0.46,2,149.0,0.0,0,1,0,2,2
350,0.09,0.8,6,304.0,5.0,0,1,0,2,2
351,0.48,0.93,3,219.0,6.0,0,1,0,2,1
352,0.91,0.91,4,262.0,6.0,0,1,0,3,1
353,0.43,0.57,2,135.0,3.0,0,1,0,3,1
354,0.33,0.88,6,219.0,5.0,0,1,0,3,1
355,0.41,0.57,2,136.0,3.0,0,1,0,3,1
356,0.41,0.55,2,154.0,3.0,0,1,0,3,1
357,0.37,0.54,2,149.0,3.0,0,1,0,3,1
358,0.31,0.62,6,135.0,5.0,0,1,0,3,1
359,0.09,0.91,6,275.0,4.0,0,1,0,3,1
360,0.1,0.87,6,290.0,4.0,0,1,0,3,1
361,0.76,0.9,4,263.0,5.0,0,1,0,3,1
362,0.41,0.54,2,145.0,3.0,0,1,0,3,1
363,0.72,0.96,5,267.0,5.0,0,1,0,2,1
364,0.4,0.5,2,141.0,3.0,1,1,0,2,1
365,0.91,0.87,4,235.0,5.0,0,1,0,2,1
366,0.1,0.83,6,258.0,4.0,0,1,0,10,1
367,0.4,0.56,2,131.0,3.0,0,1,0,4,1
368,0.82,0.86,5,243.0,5.0,0,1,0,4,1
369,0.1,0.82,6,266.0,4.0,0,1,0,4,1
370,0.37,0.45,2,142.0,3.0,0,1,0,4,1
371,0.36,0.51,2,135.0,3.0,0,1,0,4,1
372,0.39,0.48,2,141.0,3.0,0,1,0,5,2
373,0.36,0.57,2,142.0,3.0,0,1,0,5,2
374,0.86,0.84,5,254.0,5.0,0,1,0,5,2
375,0.73,0.99,5,262.0,5.0,0,1,0,5,2
376,0.56,0.71,4,296.0,2.0,0,1,0,4,2
377,0.44,0.56,2,158.0,3.0,0,1,0,8,2
378,0.31,0.56,4,238.0,2.0,0,1,0,8,2
379,0.77,0.93,4,231.0,5.0,0,1,0,9,2
380,0.44,0.45,2,156.0,3.0,0,1,0,9,2
381,0.38,0.46,2,145.0,3.0,0,1,0,9,2
382,0.45,0.48,2,144.0,3.0,0,1,0,7,2
383,0.38,0.51,2,159.0,3.0,0,1,0,1,2
384,0.36,0.48,2,156.0,3.0,0,1,0,8,3
385,0.75,0.9,5,256.0,5.0,0,1,0,3,1
386,0.1,0.93,6,298.0,4.0,0,1,0,2,2
387,0.1,0.97,6,247.0,4.0,0,1,0,10,2
388,0.45,0.5,2,157.0,3.0,0,1,0,7,2
389,0.42,0.57,2,154.0,3.0,1,1,0,7,2
390,0.78,1.0,4,253.0,5.0,0,1,0,7,1
391,0.45,0.55,2,148.0,3.0,0,1,0,1,1
392,0.84,1.0,4,261.0,5.0,0,1,0,1,1
393,0.11,0.93,6,282.0,4.0,0,1,0,1,1
394,0.42,0.56,2,133.0,3.0,0,1,0,1,1
395,0.45,0.46,2,128.0,3.0,0,1,0,1,1
397,0.09,0.79,6,293.0,5.0,0,1,0,1,1
398,0.87,0.83,4,265.0,6.0,0,1,0,1,1
399,0.1,0.87,6,0.0,4.0,0,1,0,1,1
400,0.91,1.0,5,251.0,6.0,0,1,0,1,1
401,0.76,0.92,4,246.0,5.0,0,1,0,1,1
402,0.74,1.0,5,275.0,5.0,0,1,0,1,1
403,0.92,0.93,5,240.0,5.0,0,1,0,1,1
404,0.76,0.87,5,245.0,5.0,0,1,0,1,1
405,0.47,0.5,4,254.0,4.0,0,1,0,1,1
406,0.73,0.99,5,241.0,5.0,0,1,0,1,1
407,0.09,0.94,6,257.0,4.0,0,1,0,1,1
408,0.91,0.92,4,246.0,5.0,0,1,0,1,1
409,0.82,0.98,4,233.0,5.0,0,1,0,1,1
410,0.28,0.45,6,218.0,4.0,0,1,0,8,1
411,0.84,0.99,4,262.0,6.0,0,1,0,8,2
412,0.45,0.53,2,138.0,3.0,0,1,0,8,2
413,0.45,0.54,2,142.0,3.0,0,1,0,9,2
414,0.91,0.97,5,233.0,5.0,0,1,0,9,2
415,0.42,0.48,2,155.0,3.0,0,1,0,9,2
416,0.82,1.0,4,229.0,6.0,0,1,0,9,2
417,0.11,0.9,6,264.0,4.0,0,1,0,2,2
418,0.42,0.53,3,199.0,4.0,0,1,0,2,2
419,0.82,0.85,4,223.0,5.0,0,1,0,2,2
420,0.09,0.96,6,268.0,4.0,0,1,0,2,2
421,0.1,0.94,6,287.0,4.0,0,1,0,2,2
422,0.86,1.0,5,257.0,5.0,0,1,0,2,2
423,0.4,0.46,2,143.0,3.0,0,1,0,2,3
424,0.45,0.46,2,130.0,3.0,0,1,0,2,1
425,0.42,0.51,2,136.0,3.0,0,1,0,2,2
426,0.74,0.92,4,261.0,5.0,0,1,0,2,2
427,0.55,0.6,3,180.0,4.0,0,1,0,2,2
428,0.37,0.45,2,126.0,3.0,0,1,0,3,2
429,0.41,0.52,2,127.0,3.0,1,1,0,3,1
430,0.89,0.65,5,195.0,6.0,0,1,0,3,1
431,0.41,0.57,2,160.0,3.0,0,1,0,3,1
432,0.44,0.51,2,150.0,3.0,0,1,0,3,1
433,0.87,0.84,4,264.0,6.0,0,1,0,3,1
434,0.1,0.84,6,309.0,4.0,0,1,0,3,1
435,0.41,0.47,2,135.0,3.0,0,1,0,3,1
436,0.11,0.85,6,261.0,4.0,0,1,0,3,1
437,0.43,0.53,2,160.0,3.0,0,1,0,3,1
438,0.77,0.9,4,237.0,5.0,0,1,0,3,1
439,0.41,0.52,2,136.0,3.0,0,1,0,2,1
440,0.41,0.48,2,139.0,3.0,0,1,0,2,1
441,0.36,0.78,2,151.0,4.0,0,1,0,2,1
442,0.77,1.0,5,229.0,5.0,0,1,0,10,1
443,0.81,0.98,5,0.0,5.0,0,1,0,4,1
444,0.39,0.54,2,0.0,3.0,0,1,0,4,1
445,0.09,0.94,6,283.0,5.0,0,1,0,4,1
446,0.44,0.46,2,143.0,3.0,0,1,0,4,1
447,0.1,0.84,5,298.0,0.0,0,1,0,4,1
448,0.36,0.48,2,159.0,3.0,0,1,0,5,1
449,0.81,0.92,5,239.0,5.0,0,1,0,5,1
450,0.81,0.9,4,226.0,5.0,0,1,0,5,2
451,0.85,0.98,5,248.0,5.0,0,1,0,5,2
452,0.1,0.87,6,286.0,4.0,0,1,0,4,2
453,0.37,0.54,2,145.0,3.0,0,1,0,6,2
454,0.09,0.97,7,254.0,4.0,1,1,0,6,2
455,0.44,0.53,2,127.0,3.0,0,1,0,6,2
456,0.86,0.93,5,223.0,5.0,0,1,0,6,2
457,0.77,1.0,4,255.0,5.0,0,1,0,6,2
458,0.41,0.48,2,136.0,3.0,0,1,0,7,2
459,0.4,0.48,2,137.0,0.0,0,1,0,1,2
460,0.43,0.49,2,135.0,3.0,0,1,0,8,2
461,0.43,0.5,2,137.0,3.0,0,1,0,3,2
462,0.8,0.53,3,255.0,5.0,0,1,0,2,3
